,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff,sensitivity_CI_diff_impact,specificity_CI_diff_impact,sort_on_sensitivity,sort_on_specificity,sort_on_balanced,sort_on_sensitivity_impact,sort_on_specificity_impact
155,mean_area:q40-60  mean_fractal_dimension:q00-20  mean_smoothness:q00-20,22,1.0,0.0,,0.0,21,,0.975,1.0,True,0.0,,,0,0.0,0,0.8389023847809204,,1,0,0.0,22,0.0,21,1,3,q40-60,,,,q00-20,,,q00-20,,,-1.0754025200063142,-1.0,,,0,0,971,1298,1273,,
156,mean_area:q80-100  mean_perimeter:q80-100  mean_radius:q80-100,108,0.0,0.0,,1.0,0,0.9953488372093023,1.0,0.975,True,0.0,0.9907407407407407,,108,0.9661120005259886,107,0.0,,107,1,1.0,0,0.0,1,0,3,q80-100,,,,,q80-100,q80-100,,,,-1.0,-0.9908979798115982,,,0,0,664,359,693,,
157,mean_area:q00-20  mean_perimeter:q00-20  mean_radius:q00-20,108,1.0,0.0,,0.0,107,,0.975,1.0,True,0.0,,,0,0.0,0,0.9661120005259886,,1,0,0.0,108,0.0,107,1,3,q00-20,,,,,q00-20,q00-20,,,,-0.9908979798115982,-1.0,,,0,0,370,695,706,,
158,mean_area:q20-40  mean_perimeter:q20-40  mean_radius:q20-40,102,1.0,1.0,1.0,0.5,98,0.6666666666666666,0.932414013511457,1.0,True,0.7,1.0,0.75,2,0.06758598648854298,2,0.9630580129648071,0.4671035664809571,4,0,0.5,100,0.0,98,2,3,q20-40,,,,,q20-40,q20-40,,,,-1.0,-1.0,-1.0,-1.0,0,0,338,622,708,,
159,mean_area:q40-60  mean_perimeter:q40-60  mean_radius:q40-60,100,0.9879518072289156,0.9312868812290449,0.9809202145970921,0.7647058823529411,82,0.8387096774193549,0.9318922595626461,0.9996950126871745,True,0.8147938951913788,0.9285714285714286,0.8763288447909283,14,0.50100672679542,13,0.9346916264486556,0.7717374749847647,17,1,0.7647058823529411,86,0.7084588901113422,83,4,3,q40-60,,,,,q40-60,q40-60,,,,-0.9883636043724937,-1.00749138185529,-1.4096903942183996,-1.0462381119356907,0,0,307,303,681,,
160,mean_area:q60-80  mean_perimeter:q60-80  mean_radius:q60-80,107,0.8372093023255814,0.8715169454269779,0.944459545131467,0.921875,36,0.9076923076923077,0.9741461598321495,0.9319479055384647,True,0.7655090494492337,0.8939393939393939,0.8795421511627907,66,0.8270216709957792,59,0.6929891276350901,0.8146247571941145,64,7,0.921875,41,0.6547293608827834,43,5,3,q60-80,,,,,q60-80,q60-80,,,,-1.0,-1.0,-1.0662061346568907,-1.0,0,0,155,83,469,,
161,mean_area:q80-100  mean_perimeter:q80-100  mean_smoothness:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,q80-100,,,,-0.9654375312655138,,,0,0,1137,1243,1158,,
162,mean_area:q80-100  mean_perimeter:q80-100  mean_smoothness:q60-80,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,q60-80,,,,-1.0,,,0,0,932,1041,953,,
163,mean_area:q80-100  mean_perimeter:q80-100  mean_smoothness:q40-60,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,q40-60,,,,-1.0,,,0,0,1222,1337,1245,,
164,mean_area:q00-20  mean_perimeter:q00-20  mean_smoothness:q60-80,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,q00-20,,,,,q00-20,,q60-80,,,-1.0,,,,0,0,1082,1008,1003,,
165,mean_area:q00-20  mean_perimeter:q00-20  mean_smoothness:q00-20,26,1.0,0.0,,,26,,,1.0,True,0.0,,,0,,0,0.8677253955022459,,0,0,,26,0.0,26,0,3,q00-20,,,,,q00-20,,q00-20,,,-1.0,,,,0,0,1230,1154,1164,,
166,mean_area:q20-40  mean_perimeter:q20-40  mean_smoothness:q20-40,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,3,q20-40,,,,,q20-40,,q20-40,,,-0.9686754158899054,,,,0,0,1115,1045,1051,,
167,mean_area:q20-40  mean_perimeter:q20-40  mean_smoothness:q60-80,20,1.0,1.0,1.0,0.5,18,0.6666666666666666,0.987420882906321,1.0,True,0.6882472016116853,1.0,0.75,1,0.01257911709367899,1,0.8146980318621477,0.2600090038649865,2,0,0.5,19,0.0,18,1,3,q20-40,,,,,q20-40,,q60-80,,,-1.0,-1.0,-1.0,-1.0,0,0,1121,1398,1467,,
168,mean_area:q20-40  mean_perimeter:q20-40  mean_smoothness:q00-20,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,q20-40,,,,,q20-40,,q00-20,,,-1.0,,,,0,0,1375,1294,1300,,
169,mean_area:q40-60  mean_perimeter:q40-60  mean_smoothness:q20-40,21,1.0,1.0,,1.0,20,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.8315665290169145,,1,0,1.0,20,0.0,20,0,3,q40-60,,,,,q40-60,,q20-40,,,-0.9564465677683354,-1.0127393670834062,-1.0,,0,0,1338,1378,1551,,
170,mean_area:q40-60  mean_perimeter:q40-60  mean_smoothness:q00-20,33,1.0,0.0,,0.0,32,,0.975,1.0,True,0.0,,,0,0.0,0,0.8911188393205571,,1,0,0.0,33,0.0,32,1,3,q40-60,,,,,q40-60,,q00-20,,,-0.9443132642727704,-1.0,,,0,0,524,838,844,,
171,mean_area:q60-80  mean_perimeter:q60-80  mean_smoothness:q80-100,24,1.0,1.0,,1.0,4,1.0,1.0,1.0,True,1.0,1.0,1.0,20,0.8315665290169145,20,0.3976353643835142,,20,0,1.0,4,1.0,4,0,3,q60-80,,,,,q60-80,,q80-100,,,-1.0,-1.2539175392177824,,,0,0,1167,1207,1381,,
172,mean_area:q60-80  mean_perimeter:q60-80  mean_smoothness:q20-40,21,1.0,1.0,1.0,0.875,13,0.9333333333333333,0.9968402764687477,1.0,True,0.9013878188659973,1.0,0.9375,7,0.4734903291248362,7,0.7529473619994964,0.8150022509662467,8,0,0.875,14,0.7216098051809188,13,1,3,q60-80,,,,,q60-80,,q20-40,,,-1.2426941677274626,-1.0,-1.2917958815510788,-1.002040531704325,0,0,1091,1321,1465,,
173,mean_area:q60-80  mean_perimeter:q60-80  mean_smoothness:q40-60,27,0.7272727272727273,0.817020192027117,0.9625402528219418,0.875,8,0.8484848484848485,0.9844863961845862,0.9397822658272428,True,0.6128089093333163,0.8235294117647058,0.8011363636363636,17,0.6165237631507436,14,0.39025744042757876,0.6397324744507857,16,3,0.875,10,0.176764705882353,11,2,3,q60-80,,,,,q60-80,,q40-60,,,-1.0,-1.0,-0.7367392147850085,-0.9646378637969784,0,0,858,788,1148,,
174,mean_area:q80-100  mean_perimeter:q80-100  mean_symmetry:q80-100,30,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,30,0.8842966917779725,30,,,30,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,,q80-100,,,-1.0,,,0,0,979,1099,1030,,
175,mean_area:q80-100  mean_perimeter:q80-100  mean_symmetry:q40-60,33,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,33,0.8942371899254208,33,,,33,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,,q40-60,,,-1.0,,,0,0,907,1029,961,,
176,mean_area:q80-100  mean_perimeter:q80-100  mean_symmetry:q60-80,22,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,22,0.8456274871844254,22,,,22,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,,q60-80,,,-1.0,,,0,0,1319,1443,1379,,
177,mean_area:q00-20  mean_perimeter:q00-20  mean_symmetry:q80-100,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,q00-20,,,,,q00-20,,,q80-100,,-1.0,,,,0,0,1369,1282,1295,,
178,mean_area:q00-20  mean_perimeter:q00-20  mean_symmetry:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q00-20,,,,,q00-20,,,q00-20,,-1.0,,,,0,0,1450,1361,1356,,
179,mean_area:q00-20  mean_perimeter:q00-20  mean_symmetry:q60-80,25,1.0,0.0,,0.0,24,,0.975,1.0,True,0.0,,,0,0.0,0,0.8575264022774187,,1,0,0.0,25,0.0,24,1,3,q00-20,,,,,q00-20,,,q60-80,,-1.0,-1.0,,,0,0,826,1141,1132,,
180,mean_area:q00-20  mean_perimeter:q00-20  mean_symmetry:q20-40,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q00-20,,,,,q00-20,,,q20-40,,-1.0,,,,0,0,1460,1387,1369,,
181,mean_area:q20-40  mean_perimeter:q20-40  mean_symmetry:q00-20,26,1.0,0.0,,,26,,,1.0,True,0.0,,,0,,0,0.8677253955022459,,0,0,,26,0.0,26,0,3,q20-40,,,,,q20-40,,,q00-20,,-1.0,,,,0,0,1265,1192,1170,,
182,mean_area:q20-40  mean_perimeter:q20-40  mean_symmetry:q60-80,23,1.0,1.0,,1.0,22,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.8456274871844254,,1,0,1.0,22,0.0,22,0,3,q20-40,,,,,q20-40,,,q60-80,,-1.0,-1.0,-1.0,,0,0,1217,1277,1423,,
183,mean_area:q20-40  mean_perimeter:q20-40  mean_symmetry:q20-40,26,1.0,0.0,,0.0,25,,0.975,1.0,True,0.0,,,0,0.0,0,0.8628148284692875,,1,0,0.0,26,0.0,25,1,3,q20-40,,,,,q20-40,,,q20-40,,-0.9642048263805313,-1.0,,,0,0,777,1120,1074,,
184,mean_area:q40-60  mean_perimeter:q40-60  mean_symmetry:q40-60,23,1.0,0.9181845323020388,0.9400455838177655,0.4,18,0.5714285714285715,0.8533672003653274,1.0,True,0.5855400437691199,1.0,0.7,2,0.05274495052631566,2,0.8146980318621477,0.4599544161822346,5,0,0.4,21,0.0,18,3,3,q40-60,,,,,q40-60,,,q40-60,,-0.952320763673122,-1.0,-1.0,-1.0000000000000002,0,0,938,1256,1274,,
185,mean_area:q40-60  mean_perimeter:q40-60  mean_symmetry:q00-20,27,1.0,0.0,,,27,,,1.0,True,0.0,,,0,,0,0.8722971323845661,,0,0,,27,0.0,27,0,3,q40-60,,,,,q40-60,,,q00-20,,-0.9353342747902813,,,,0,0,1237,1179,1151,,
186,mean_area:q40-60  mean_perimeter:q40-60  mean_symmetry:q20-40,30,1.0,1.0,1.0,0.75,26,0.8571428571428571,0.9936905367902901,1.0,True,0.8498365855987975,1.0,0.875,3,0.1941204496832434,3,0.8677253955022459,0.6300045019324932,4,0,0.75,27,0.43327037088371806,26,1,3,q40-60,,,,,q40-60,,,q20-40,,-0.9654375312655138,-1.0,-1.048654374083454,-1.0,0,0,626,908,1014,,
187,mean_area:q60-80  mean_perimeter:q60-80  mean_symmetry:q80-100,24,0.6666666666666666,0.9191794045630127,1.0,0.9523809523809523,2,0.9523809523809523,0.9987951165516293,0.9915962413403874,True,0.6190476190476191,0.9523809523809523,0.8095238095238095,21,0.761840090063179,20,0.09429932405071303,0.47954670848817216,21,1,0.9523809523809523,3,0.17261904761904778,3,1,3,q60-80,,,,,q60-80,,,q80-100,,-1.0,-0.9211947399467776,-1.2516518607876508,-0.9949663630556613,0,0,1007,891,1256,,
188,mean_area:q60-80  mean_perimeter:q60-80  mean_symmetry:q40-60,20,0.6,0.7559385103378474,0.9376522649024772,0.9,6,0.7826086956521738,0.9974714214555375,0.8784477418801728,True,0.5241424183609591,0.6923076923076923,0.75,13,0.5549838829718046,9,0.2623780766069451,0.5623477350975228,10,4,0.9,7,0.29675195198701726,10,1,3,q60-80,,,,,q60-80,,,q40-60,,-1.0,-1.0,-1.3643196751236708,-1.0,0,0,1174,1073,1424,,
189,mean_area:q60-80  mean_perimeter:q60-80  mean_symmetry:q60-80,30,1.0,1.0,1.0,0.9523809523809523,9,0.975609756097561,0.9987951165516293,1.0,True,0.9258200997725514,1.0,0.9761904761904762,20,0.761840090063179,20,0.6637328831200571,0.9295246670347602,21,0,0.9523809523809523,10,0.816496580927726,9,1,3,q60-80,,,,,q60-80,,,q60-80,,-1.0,-1.178174848612666,-2.0937710320302925,-2.6303563957238376,0,0,768,990,1111,,
190,mean_area:q80-100  mean_perimeter:q80-100  mean_texture:q60-80,37,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,37,0.9051094125850101,37,,,37,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,,,q60-80,,-1.0,,,0,0,912,1043,976,,
191,mean_area:q80-100  mean_perimeter:q80-100  mean_texture:q80-100,38,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,38,0.9074872385841217,38,,,38,0,1.0,0,0.0,0,0,3,q80-100,,,,,q80-100,,,,q80-100,,-0.9522718977414819,,,0,0,829,918,849,,
192,mean_area:q00-20  mean_perimeter:q00-20  mean_texture:q00-20,36,1.0,0.0,,,36,,,1.0,True,0.0,,,0,,0,0.9026062440854072,,0,0,,36,0.0,36,0,3,q00-20,,,,,q00-20,,,,q00-20,-0.9742984704091507,,,,0,0,1003,941,926,,
193,mean_area:q00-20  mean_perimeter:q00-20  mean_texture:q20-40,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q00-20,,,,,q00-20,,,,q20-40,-1.0,,,,0,0,1494,1430,1409,,
194,mean_area:q00-20  mean_perimeter:q00-20  mean_texture:q40-60,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,q00-20,,,,,q00-20,,,,q40-60,-0.9614567856136814,,,,0,0,1442,1376,1354,,
195,mean_area:q20-40  mean_perimeter:q20-40  mean_texture:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q20-40,,,,,q20-40,,,,q00-20,-0.9373537472484187,,,,0,0,1254,1186,1151,,
196,mean_area:q20-40  mean_perimeter:q20-40  mean_texture:q20-40,24,1.0,0.0,,0.0,23,,0.975,1.0,True,0.0,,,0,0.0,0,0.8518148710847749,,1,0,0.0,24,0.0,23,1,3,q20-40,,,,,q20-40,,,,q20-40,-0.925768817255573,-1.0,,,0,0,856,1187,1164,,
197,mean_area:q20-40  mean_perimeter:q20-40  mean_texture:q40-60,26,1.0,1.0,1.0,0.5,24,0.6666666666666666,0.987420882906321,1.0,True,0.6928203230275508,1.0,0.75,1,0.01257911709367899,1,0.8575264022774187,0.2600090038649865,2,0,0.5,25,0.0,24,1,3,q20-40,,,,,q20-40,,,,q40-60,-0.8963265451055127,-1.0,-1.0,-1.0,0,0,778,1081,1140,,
198,mean_area:q40-60  mean_perimeter:q40-60  mean_texture:q00-20,20,1.0,1.0,,1.0,19,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.823533088192828,,1,0,1.0,19,0.0,19,0,3,q40-60,,,,,q40-60,,,,q00-20,-0.9544762202623868,-1.0,-1.0,,0,0,1267,1422,1565,,
199,mean_area:q40-60  mean_perimeter:q40-60  mean_texture:q20-40,30,0.9642857142857143,0.8911315245591279,1.0,0.5,27,0.5,0.987420882906321,0.9990962012443263,True,0.4642857142857143,0.5,0.7321428571428571,2,0.01257911709367899,1,0.8165224024553764,0.24090347428102726,2,1,0.5,28,-0.068849932613142,28,1,3,q40-60,,,,,q40-60,,,,q20-40,-0.9380626246141565,-1.0042831140196231,-1.0281690116273874,-0.8935489512342277,0,0,618,641,923,,
200,mean_area:q40-60  mean_perimeter:q40-60  mean_texture:q60-80,21,1.0,1.0,1.0,0.7777777777777778,12,0.8750000000000001,0.9718550265221126,1.0,True,0.816496580927726,1.0,0.8888888888888888,7,0.3999064262836879,7,0.7353515306029488,0.744845075507327,9,0,0.7777777777777778,14,0.5912222588808383,12,2,3,q40-60,,,,,q40-60,,,,q60-80,-1.0,-1.0,-1.0160198439492052,-1.0,0,0,1082,1352,1456,,
201,mean_area:q60-80  mean_perimeter:q60-80  mean_texture:q60-80,25,1.0,1.0,1.0,0.9545454545454546,3,0.9767441860465117,0.9988498524734183,1.0,True,0.8461141122266493,1.0,0.9772727272727273,21,0.771555602332364,21,0.2924017738212867,0.9327280912604531,22,0,0.9545454545454546,4,0.5527707983925666,3,1,3,q60-80,,,,,q60-80,,,,q60-80,-1.0,-1.0,-2.2359899496852957,-2.7556114621868835,0,0,962,1169,1281,,
202,mean_area:q60-80  mean_perimeter:q60-80  mean_texture:q80-100,28,1.0,0.9494388693288209,0.9915715478053398,0.8181818181818182,6,0.9,0.9481327006875634,1.0,True,0.7006490497453707,1.0,0.9090909090909092,18,0.5971542169222595,18,0.5407418735600996,0.826610270376478,22,0,0.8181818181818182,10,0.4385290096535146,6,4,3,q60-80,,,,,q60-80,,,,q80-100,-1.0,-0.9571657699299475,-1.0291003969764931,-1.072656525029228,0,0,798,1060,1137,,
203,mean_area:q80-100  mean_radius:q80-100  mean_smoothness:q80-100,25,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,25,0.8628148284692875,25,,,25,0,1.0,0,0.0,0,0,3,q80-100,,,,,,q80-100,q80-100,,,,-0.9308795272151135,,,0,0,1159,1291,1205,,
204,mean_area:q80-100  mean_radius:q80-100  mean_smoothness:q20-40,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,3,q80-100,,,,,,q80-100,q20-40,,,,-1.0,,,0,0,1418,1550,1464,,
205,mean_area:q80-100  mean_radius:q80-100  mean_smoothness:q60-80,32,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,32,0.8911188393205571,32,,,32,0,1.0,0,0.0,0,0,3,q80-100,,,,,,q80-100,q60-80,,,,-1.0,,,0,0,914,1046,957,,
206,mean_area:q80-100  mean_radius:q80-100  mean_smoothness:q40-60,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,3,q80-100,,,,,,q80-100,q40-60,,,,-1.0,,,0,0,1128,1260,1167,,
207,mean_area:q00-20  mean_radius:q00-20  mean_smoothness:q60-80,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,q00-20,,,,,,q00-20,q60-80,,,-1.0,,,,0,0,1144,1068,1038,,
208,mean_area:q00-20  mean_radius:q00-20  mean_smoothness:q40-60,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,3,q00-20,,,,,,q00-20,q40-60,,,-1.0,,,,0,0,1656,1578,1579,,
209,mean_area:q00-20  mean_radius:q00-20  mean_smoothness:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q00-20,,,,,,q00-20,q00-20,,,-1.0,,,,0,0,1257,1157,1166,,
210,mean_area:q20-40  mean_radius:q20-40  mean_smoothness:q80-100,20,1.0,1.0,1.0,0.75,16,0.8571428571428571,0.9936905367902901,1.0,True,0.8401680504168059,1.0,0.875,3,0.1941204496832434,3,0.7940927857921769,0.6300045019324932,4,0,0.75,17,0.6154071245918237,16,1,3,q20-40,,,,,,q20-40,q80-100,,,-1.0,-1.0,-1.52181448236321,-1.00883662833131,0,0,1118,1366,1501,,
211,mean_area:q20-40  mean_radius:q20-40  mean_smoothness:q20-40,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,q20-40,,,,,,q20-40,q20-40,,,-0.9696243663758238,,,,0,0,1152,1049,930,,
212,mean_area:q20-40  mean_radius:q20-40  mean_smoothness:q60-80,20,1.0,1.0,1.0,0.5,18,0.6666666666666666,0.987420882906321,1.0,True,0.6882472016116853,1.0,0.75,1,0.01257911709367899,1,0.8146980318621477,0.2600090038649865,2,0,0.5,19,0.0,18,1,3,q20-40,,,,,,q20-40,q60-80,,,-1.0,-1.0,-1.0,-1.0,0,0,1112,1354,1452,,
213,mean_area:q20-40  mean_radius:q20-40  mean_smoothness:q00-20,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,q20-40,,,,,,q20-40,q00-20,,,-1.0,,,,0,0,1455,1329,1126,,
214,mean_area:q40-60  mean_radius:q40-60  mean_smoothness:q20-40,23,1.0,1.0,1.0,0.5,21,0.6666666666666666,0.987420882906321,1.0,True,0.6908492797077574,1.0,0.75,1,0.01257911709367899,1,0.8389023847809204,0.2600090038649865,2,0,0.5,22,0.0,21,1,3,q40-60,,,,,,q40-60,q20-40,,,-1.0,-1.0,-1.0,-1.0,0,0,962,1196,1303,,
215,mean_area:q40-60  mean_radius:q40-60  mean_smoothness:q40-60,21,1.0,1.0,0.9933273307566757,0.3333333333333333,18,0.5,0.9057006759492866,1.0,True,0.5477225575051662,1.0,0.6666666666666666,1,0.008403758659612647,1,0.8146980318621477,0.34000600257665775,3,0,0.3333333333333333,20,0.0,18,2,3,q40-60,,,,,,q40-60,q40-60,,,-1.0,-1.0,-1.0,-1.0,0,0,1047,1308,1376,,
216,mean_area:q40-60  mean_radius:q40-60  mean_smoothness:q00-20,34,1.0,0.0,,0.0,33,,0.975,1.0,True,0.0,,,0,0.0,0,0.8942371899254208,,1,0,0.0,34,0.0,33,1,3,q40-60,,,,,,q40-60,q00-20,,,-1.0,-1.0,,,0,0,480,761,532,,
217,mean_area:q60-80  mean_radius:q60-80  mean_smoothness:q80-100,26,1.0,1.0,,1.0,4,1.0,1.0,1.0,True,1.0,1.0,1.0,22,0.8456274871844254,22,0.3976353643835142,,22,0,1.0,4,0.7250000000000006,4,0,3,q60-80,,,,,,q60-80,q80-100,,,-1.0,-1.0883193322403857,-3.6363636363636447,,0,0,1069,1076,1268,,
218,mean_area:q60-80  mean_radius:q60-80  mean_smoothness:q20-40,21,1.0,1.0,1.0,0.875,13,0.9333333333333333,0.9968402764687477,1.0,True,0.9013878188659973,1.0,0.9375,7,0.4734903291248362,7,0.7529473619994964,0.8150022509662467,8,0,0.875,14,0.6972791653386382,13,1,3,q60-80,,,,,,q60-80,q20-40,,,-1.1685404632654064,-1.0,-1.0377266722242067,-1.0,0,0,1094,1288,1466,,
219,mean_area:q60-80  mean_radius:q60-80  mean_smoothness:q40-60,28,0.75,0.8546008363081002,0.9653807124448708,0.875,9,0.8484848484848485,0.9844863961845862,0.9451393554720076,True,0.6333004963811236,0.8235294117647058,0.8125,17,0.6165237631507436,14,0.4281415381219003,0.659619287555129,16,3,0.875,11,0.41995227883250263,12,2,3,q60-80,,,,,,q60-80,q40-60,,,-1.0,-1.0,-1.2205356193879808,-1.0,0,0,816,744,1106,,
220,mean_area:q80-100  mean_radius:q80-100  mean_symmetry:q80-100,30,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,30,0.8842966917779725,30,,,30,0,1.0,0,0.0,0,0,3,q80-100,,,,,,q80-100,,q80-100,,,-1.0,,,0,0,973,1097,748,,
221,mean_area:q80-100  mean_radius:q80-100  mean_symmetry:q40-60,33,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,33,0.8942371899254208,33,,,33,0,1.0,0,0.0,0,0,3,q80-100,,,,,,q80-100,,q40-60,,,-1.0,,,0,0,909,1033,682,,
222,mean_area:q80-100  mean_radius:q80-100  mean_symmetry:q60-80,23,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,23,0.8518148710847749,23,,,23,0,1.0,0,0.0,0,0,3,q80-100,,,,,,q80-100,,q60-80,,,-1.0,,,0,0,1291,1415,1062,,
223,mean_area:q00-20  mean_radius:q00-20  mean_symmetry:q80-100,25,1.0,1.0,,1.0,24,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.8575264022774187,,1,0,1.0,24,0.0,24,0,3,q00-20,,,,,,q00-20,,q80-100,,-1.0,-1.0127393670834062,-1.0,,0,0,1081,1080,1295,,
224,mean_area:q00-20  mean_radius:q00-20  mean_symmetry:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q00-20,,,,,,q00-20,,q00-20,,-1.0,,,,0,0,1521,1395,1158,,
225,mean_area:q00-20  mean_radius:q00-20  mean_symmetry:q60-80,25,1.0,0.0,,0.0,24,,0.975,1.0,True,0.0,,,0,0.0,0,0.8575264022774187,,1,0,0.0,25,0.0,24,1,3,q00-20,,,,,,q00-20,,q60-80,,-1.0,-1.0,,,0,0,795,1074,844,,
226,mean_area:q00-20  mean_radius:q00-20  mean_symmetry:q20-40,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q00-20,,,,,,q00-20,,q20-40,,-1.0,,,,0,0,1533,1396,1167,,
227,mean_area:q20-40  mean_radius:q20-40  mean_symmetry:q00-20,26,1.0,0.0,,,26,,,1.0,True,0.0,,,0,,0,0.8677253955022459,,0,0,,26,0.0,26,0,3,q20-40,,,,,,q20-40,,q00-20,,-1.0,,,,0,0,1336,1197,968,,
228,mean_area:q20-40  mean_radius:q20-40  mean_symmetry:q60-80,23,1.0,1.0,,1.0,22,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.8456274871844254,,1,0,1.0,22,0.0,22,0,3,q20-40,,,,,,q20-40,,q60-80,,-1.0,-1.0,-1.0,,0,0,1212,1204,1420,,
229,mean_area:q20-40  mean_radius:q20-40  mean_symmetry:q20-40,28,1.0,0.0,,0.0,27,,0.975,1.0,True,0.0,,,0,0.0,0,0.8722971323845661,,1,0,0.0,28,0.0,27,1,3,q20-40,,,,,,q20-40,,q20-40,,-1.0,-1.0,,,0,0,681,956,728,,
230,mean_area:q40-60  mean_radius:q40-60  mean_symmetry:q40-60,24,1.0,0.0,0.9400455838177655,0.4,19,0.5714285714285715,0.8533672003653274,1.0,True,0.5877538136452587,1.0,0.7,2,0.05274495052631566,2,0.823533088192828,0.4599544161822345,5,0,0.4,22,0.0,19,3,3,q40-60,,,,,,q40-60,,q40-60,,-1.0,-1.0,,-1.0,0,0,899,1145,1238,,
231,mean_area:q40-60  mean_radius:q40-60  mean_symmetry:q00-20,31,1.0,0.0,,0.0,30,,0.975,1.0,True,0.0,,,0,0.0,0,0.8842966917779725,,1,0,0.0,31,0.0,30,1,3,q40-60,,,,,,q40-60,,q00-20,,-1.0,-1.0,,,0,0,555,831,604,,
